Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2012,490490002,1,13.3,ug/m3 LC,54,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/2/2012,490490002,1,12,ug/m3 LC,50,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/3/2012,490490002,1,15.4,ug/m3 LC,58,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/4/2012,490490002,1,15.4,ug/m3 LC,58,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/5/2012,490490002,1,14.5,ug/m3 LC,56,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/6/2012,490490002,1,19.1,ug/m3 LC,66,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/7/2012,490490002,1,11.2,ug/m3 LC,47,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/8/2012,490490002,1,9.9,ug/m3 LC,41,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/9/2012,490490002,1,17.8,ug/m3 LC,63,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/10/2012,490490002,1,18,ug/m3 LC,63,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/11/2012,490490002,1,12.6,ug/m3 LC,52,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/12/2012,490490002,1,9.4,ug/m3 LC,39,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/13/2012,490490002,1,11,ug/m3 LC,46,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/14/2012,490490002,1,8.6,ug/m3 LC,36,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/15/2012,490490002,1,3,ug/m3 LC,13,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/16/2012,490490002,1,3.9,ug/m3 LC,16,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/17/2012,490490002,1,6.1,ug/m3 LC,25,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/18/2012,490490002,1,3.1,ug/m3 LC,13,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/19/2012,490490002,1,6.9,ug/m3 LC,29,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/20/2012,490490002,1,9.1,ug/m3 LC,38,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/21/2012,490490002,1,1.6,ug/m3 LC,7,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/22/2012,490490002,1,1.7,ug/m3 LC,7,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/23/2012,490490002,1,5.8,ug/m3 LC,24,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/24/2012,490490002,1,7.1,ug/m3 LC,30,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/25/2012,490490002,1,9.9,ug/m3 LC,41,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/26/2012,490490002,1,10.9,ug/m3 LC,45,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
